"title_rate_id_pk","title_rate_name","min_range","max_range","owner_rate","home_owner_rate","con_loan_rate","resi_loan_rate","con_full_loan_rate","region","status","created_at","modified_at"
"1",NULL,"0","30000","677","745","484","450","542","California","1","2019-12-18 16:30:56","2024-11-26 06:22:04"
"2",NULL,"30001","40000","677","745","484","450","542","California","1","2019-12-18 16:30:56","2024-11-26 06:22:04"
"3",NULL,"40001","50000","677","745","484","450","542","California","1","2019-12-18 16:30:56","2024-11-26 06:22:04"
"4",NULL,"50001","60000","677","745","484","450","542","California","1","2019-12-18 16:30:56","2024-11-26 06:22:04"
"5",NULL,"60001","70000","677","745","484","450","542","California","1","2019-12-18 16:30:56","2024-11-26 06:22:04"
"6",NULL,"70001","80000","677","745","484","450","542","California","1","2019-12-18 16:30:56","2024-11-26 06:22:04"
"7",NULL,"80001","90000","677","745","484","450","542","California","1","2019-12-18 16:30:56","2024-11-26 06:22:04"
"8",NULL,"90001","100000","677","745","484","450","542","California","1","2019-12-18 16:30:57","2024-11-26 06:22:04"
"9",NULL,"100001","110000","703","773","495","450","562","California","1","2019-12-18 16:30:57","2024-11-26 06:22:04"
"10",NULL,"110001","120000","729","802","506","450","583","California","1","2019-12-18 16:30:57","2024-11-26 06:22:04"
"11",NULL,"120001","130000","756","832","517","450","605","California","1","2019-12-18 16:30:57","2024-11-26 06:22:04"
"12",NULL,"130001","140000","781","859","528","450","625","California","1","2019-12-18 16:30:57","2024-11-26 06:22:04"
"13",NULL,"140001","150000","807","888","539","450","646","California","1","2019-12-18 16:30:57","2024-11-26 06:22:04"
"14",NULL,"150001","160000","834","917","550","450","667","California","1","2019-12-18 16:30:57","2024-11-26 06:22:04"
"15",NULL,"160001","170000","860","946","561","450","688","California","1","2019-12-18 16:30:57","2024-11-26 06:22:04"
"16",NULL,"170001","180000","887","976","571","450","710","California","1","2019-12-18 16:30:57","2024-11-26 06:22:04"
"17",NULL,"180001","190000","911","1002","583","450","729","California","1","2019-12-18 16:30:57","2024-11-26 06:22:04"
"18",NULL,"190001","200000","943","1037","600","450","754","California","1","2019-12-18 16:30:57","2024-11-26 06:22:04"
"19",NULL,"200001","210000","964","1060","606","450","771","California","1","2019-12-18 16:30:58","2024-11-26 06:22:04"
"20",NULL,"210001","220000","991","1090","617","450","793","California","1","2019-12-18 16:30:58","2024-11-26 06:22:04"
"21",NULL,"220001","230000","1016","1118","628","450","813","California","1","2019-12-18 16:30:58","2024-11-26 06:22:04"
"22",NULL,"230001","240000","1041","1145","639","450","833","California","1","2019-12-18 16:30:58","2024-11-26 06:22:04"
"23",NULL,"240001","250000","1066","1173","652","450","853","California","1","2019-12-18 16:30:58","2024-11-26 06:22:04"
"24",NULL,"250001","260000","1091","1200","664","450","873","California","1","2019-12-18 16:30:58","2024-11-26 06:22:04"
"25",NULL,"260001","270000","1117","1229","676","450","894","California","1","2019-12-18 16:30:58","2024-11-26 06:22:04"
"26",NULL,"270001","280000","1141","1255","690","450","913","California","1","2019-12-18 16:30:58","2024-11-26 06:22:04"
"27",NULL,"280001","290000","1167","1284","702","450","934","California","1","2019-12-18 16:30:58","2024-11-26 06:22:04"
"28",NULL,"290001","300000","1192","1311","714","660","954","California","1","2019-12-18 16:30:58","2024-11-26 06:22:04"
"29",NULL,"300001","310000","1203","1323","718","660","962","California","1","2019-12-18 16:30:59","2024-11-26 06:22:04"
"30",NULL,"310001","320000","1222","1344","734","660","978","California","1","2019-12-18 16:30:59","2024-11-26 06:22:04"
"31",NULL,"320001","330000","1241","1365","748","660","993","California","1","2019-12-18 16:30:59","2024-11-26 06:22:04"
"32",NULL,"330001","340000","1260","1386","763","660","1008","California","1","2019-12-18 16:30:59","2024-11-26 06:22:04"
"33",NULL,"340001","350000","1279","1407","778","660","1023","California","1","2019-12-18 16:30:59","2024-11-26 06:22:04"
"34",NULL,"350001","360000","1298","1428","792","660","1038","California","1","2019-12-18 16:30:59","2024-11-26 06:22:04"
"35",NULL,"360001","370000","1318","1450","807","660","1054","California","1","2019-12-18 16:30:59","2024-11-26 06:22:04"
"36",NULL,"370001","380000","1338","1472","822","660","1070","California","1","2019-12-18 16:30:59","2024-11-26 06:22:04"
"37",NULL,"380001","390000","1358","1494","836","660","1086","California","1","2019-12-18 16:30:59","2024-11-26 06:22:04"
"38",NULL,"390001","400000","1377","1515","850","660","1102","California","1","2019-12-18 16:30:59","2024-11-26 06:22:04"
"39",NULL,"400001","410000","1407","1548","878","660","1126","California","1","2019-12-18 16:30:59","2024-11-26 06:22:04"
"40",NULL,"410001","420000","1425","1568","893","660","1140","California","1","2019-12-18 16:31:00","2024-11-26 06:22:04"
"41",NULL,"420001","430000","1445","1590","907","660","1156","California","1","2019-12-18 16:31:00","2024-11-26 06:22:04"
"42",NULL,"430001","440000","1463","1609","922","660","1170","California","1","2019-12-18 16:31:00","2024-11-26 06:22:04"
"43",NULL,"440001","450000","1482","1630","937","660","1186","California","1","2019-12-18 16:31:00","2024-11-26 06:22:04"
"44",NULL,"450001","460000","1502","1652","951","660","1202","California","1","2019-12-18 16:31:00","2024-11-26 06:22:04"
"45",NULL,"460001","470000","1521","1673","966","660","1217","California","1","2019-12-18 16:31:00","2024-11-26 06:22:04"
"46",NULL,"470001","480000","1540","1694","981","660","1232","California","1","2019-12-18 16:31:00","2024-11-26 06:22:04"
"47",NULL,"480001","490000","1560","1716","995","660","1248","California","1","2019-12-18 16:31:00","2024-11-26 06:22:04"
"48",NULL,"490001","500000","1579","1737","1010","660","1263","California","1","2019-12-18 16:31:00","2024-11-26 06:22:04"
"49",NULL,"500001","510000","1593","1752","1018","840","1274","California","1","2019-12-18 16:31:00","2024-11-26 06:22:04"
"50",NULL,"510001","520000","1611","1772","1029","840","1289","California","1","2019-12-18 16:31:00","2024-11-26 06:22:04"
"51",NULL,"520001","530000","1629","1792","1040","840","1303","California","1","2019-12-18 16:31:01","2024-11-26 06:22:04"
"52",NULL,"530001","540000","1648","1813","1051","840","1318","California","1","2019-12-18 16:31:01","2024-11-26 06:22:04"
"53",NULL,"540001","550000","1665","1832","1062","840","1332","California","1","2019-12-18 16:31:01","2024-11-26 06:22:04"
"54",NULL,"550001","560000","1683","1851","1073","840","1346","California","1","2019-12-18 16:31:01","2024-11-26 06:22:04"
"55",NULL,"560001","570000","1700","1870","1084","840","1360","California","1","2019-12-18 16:31:01","2024-11-26 06:22:04"
"56",NULL,"570001","580000","1719","1891","1095","840","1375","California","1","2019-12-18 16:31:01","2024-11-26 06:22:04"
"57",NULL,"580001","590000","1737","1911","1106","840","1390","California","1","2019-12-18 16:31:01","2024-11-26 06:22:04"
"58",NULL,"590001","600000","1754","1929","1117","840","1403","California","1","2019-12-18 16:31:01","2024-11-26 06:22:04"
"59",NULL,"600001","610000","1770","1947","1126","840","1416","California","1","2019-12-18 16:31:01","2024-11-26 06:22:04"
"60",NULL,"610001","620000","1788","1967","1137","840","1430","California","1","2019-12-18 16:31:01","2024-11-26 06:22:04"
